label_rank_qid,label_rank_name,label_qid,label_name,assigned_node_count,assigned_leaf_node_count,strict_descendant_count,leaf_descendant_count,is_leaf_label
Q36602,order,Q17189405,Leptosomiformes,7,4,7,4,0
Q36602,order,Q108117479,Steatornithiformes,6,3,6,3,0
Q36602,order,Q15731102,Pangalliformes,6,3,6,3,0
Q36602,order,Q17189557,Mesitornithiformes,6,3,6,3,0
Q36602,order,Q16687464,Ambiortiformes,5,2,5,2,0
Q36602,order,Q19776310,Omnivoropterygiformes,5,2,5,2,0
Q36602,order,Q20991814,Jeholornithiformes,5,3,5,3,0
Q36602,order,Q21292514,Praeornithiformes,3,1,3,1,0
Q36602,order,Q21351929,Yandangithiformes,3,1,3,1,0
Q36602,order,Q17189347,Opisthocomiformes,2,1,2,1,0
Q36602,order,Q18282108,Turniciformes,2,1,2,1,0
Q36602,order,Q2621831,Upupiformes,2,1,2,1,0
Q36602,order,Q21351941,Liaoxiornithiformes,1,1,1,1,0
Q36602,order,Q21351983,Palaeocursornithiformes,1,1,1,1,0
Q36602,order,Q2984609,Colymbiformes,1,1,1,1,0
Q36602,order,Q9197797,Ardeiformes,1,1,1,1,0
Q36602,order,Q108117411,Nyctibiiformes,0,0,0,0,1
Q36602,order,Q17747564,Struthiornithiformes,0,0,0,0,1
Q36602,order,Q1837596,Craciformes,0,0,0,0,1
Q36602,order,Q19962640,Picimorphes,0,0,0,0,1
Q36602,order,Q2032066,Upupae,0,0,0,0,1
Q36602,order,Q21351973,Gansuiformes,0,0,0,0,1
Q36602,order,Q28870176,Diatrymiformes,0,0,0,0,1
Q36602,order,Q28870387,Remiornithiformes,0,0,0,0,1
Q36602,order,Q3079028,Galbuliformes,0,0,0,0,1
Q36602,order,Q30913065,Aegotheliformes,0,0,0,0,1
Q36602,order,Q3361632,Palmipedes,0,0,0,0,1
Q36602,order,Q35133688,Ralliformes,0,0,0,0,1
Q36602,order,Q35134392,Dromornithiformes,0,0,0,0,1
Q36602,order,Q35136454,Alcediniformes,0,0,0,0,1
Q36602,order,Q35136515,Avimimiformes,0,0,0,0,1
Q36602,order,Q3539809,Trochiliformes,0,0,0,0,1
Q36602,order,Q56755423,Threskiornithiformes,0,0,0,0,1
Q5867959,suborder,Q194240,songbirds,12022,9745,12022,9745,0
Q5867959,suborder,Q768526,Tyranni,2803,2202,2803,2202,0
Q5867959,suborder,Q864492,Lari,573,450,573,450,0
Q5867959,suborder,Q45018,Alcedines,554,455,554,455,0
Q5867959,suborder,Q1529266,Galbuloidea,219,176,219,176,0
Q5867959,suborder,Q212771,Charadrii,10,8,10,8,0
Q5867959,suborder,Q12215072,Limicolae,7,3,7,3,0
Q5867959,suborder,Q14006560,Coracii,7,5,7,5,0
Q5867959,suborder,Q13174363,Alcedini,5,3,5,3,0
Q5867959,suborder,Q19965691,Ciconii,5,5,5,5,0
Q5867959,suborder,Q16542266,Pici,4,4,4,4,0
Q5867959,suborder,Q19966774,Procellarii,4,4,4,4,0
Q5867959,suborder,Q19966787,Ralli,4,2,4,2,0
Q5867959,suborder,Q48777489,Pelecani,4,2,4,2,0
Q5867959,suborder,Q11296652,Phasiani,3,3,3,3,0
Q5867959,suborder,Q15632749,Halcyones,3,2,3,2,0
Q5867959,suborder,Q19966819,Suli,3,3,3,3,0
Q5867959,suborder,Q12232395,Craci,2,2,2,2,0
Q5867959,suborder,Q15232109,Grues,2,2,2,2,0
Q5867959,suborder,Q19896715,Anseri,2,1,2,1,0
Q5867959,suborder,Q19963386,Accipitri,2,2,2,2,0
Q5867959,suborder,Q19965870,Corvi,2,2,2,2,0
Q5867959,suborder,Q19965880,Cuculi,2,2,2,2,0
Q5867959,suborder,Q19966768,Podicipiti,2,1,2,1,0
Q5867959,suborder,Q19966811,Strigi,2,2,2,2,0
Q5867959,suborder,Q13166544,Caprimulgi,1,1,1,1,0
Q5867959,suborder,Q14441345,Anseres,1,1,1,1,0
Q5867959,suborder,Q19963398,Apodi,1,1,1,1,0
Q5867959,suborder,Q19965839,Columbi,1,1,1,1,0
Q5867959,suborder,Q19966145,Falconi,1,1,1,1,0
Q5867959,suborder,Q19966172,Grui,1,1,1,1,0
Q5867959,suborder,Q19966521,Meropi,1,1,1,1,0
Q5867959,suborder,Q19966745,Phaethonti,1,1,1,1,0
Q5867959,suborder,Q19966781,Pteroclidi,1,1,1,1,0
Q5867959,suborder,Q19966842,Turnici,1,1,1,1,0
Q5867959,suborder,Q19966887,Upupi,1,1,1,1,0
Q5867959,suborder,Q105063209,Ardei,0,0,0,0,1
Q5867959,suborder,Q107203619,Cariamae,0,0,0,0,1
Q5867959,suborder,Q11294313,Sulae,0,0,0,0,1
Q5867959,suborder,Q11304091,Bucerotes,0,0,0,0,1
Q5867959,suborder,Q11316002,Accipitres,0,0,0,0,1
Q5867959,suborder,Q12214032,Rheae,0,0,0,0,1
Q5867959,suborder,Q12835400,Menurae,0,0,0,0,1
Q5867959,suborder,Q16540992,Chionidi,0,0,0,0,1
Q5867959,suborder,Q17273266,Musophagi,0,0,0,0,1
Q5867959,suborder,Q18808652,Galbuli,0,0,0,0,1
Q5867959,suborder,Q19966756,Phoenicopteri,0,0,0,0,1
Q5867959,suborder,Q19966776,Psittaci,0,0,0,0,1
Q5867959,suborder,Q22111496,Alcae,0,0,0,0,1
Q5867959,suborder,Q3023343,Dentirostre,0,0,0,0,1
Q5867959,suborder,Q30917837,Limicoli,0,0,0,0,1
Q5867959,suborder,Q3663142,Casuarii,0,0,0,0,1
Q5867959,suborder,Q3976173,Struthiones,0,0,0,0,1
Q5867959,suborder,Q3990453,Thinocori,0,0,0,0,1
Q2889003,infraorder,Q12036360,Meliphagida,280,229,280,229,0
Q2889003,infraorder,Q11773574,Climacterida,111,79,111,79,0
Q2889003,infraorder,Q92184243,Orthonychida,11,7,11,7,0
Q2889003,infraorder,Q992907,Eurylaimides,5,2,5,2,0
Q2889003,infraorder,Q17631057,Furnariides,3,2,3,2,0
